Detuning_meV,E_Singlet0_meV,E_Triplet0_meV,Exchange_J_meV,Exchange_J_ueV
-3.0,0.7767955666512378,0.8,0.02320443334876223,23.204433348762233
-2.9393939393939394,0.7812873628801241,0.8,0.01871263711987589,18.712637119875893
-2.878787878787879,0.7843372742064945,0.8,0.015662725793505538,15.662725793505537
-2.8181818181818183,0.786522288052453,0.8,0.013477711947547051,13.477711947547052
-2.757575757575758,0.7881556925189849,0.8,0.011844307481015153,11.844307481015154
-2.696969696969697,0.7894186440922516,0.8,0.010581355907748436,10.581355907748435
-2.6363636363636362,0.7904219660697701,0.8,0.009578033930229931,9.578033930229932
-2.5757575757575757,0.7912368001851473,0.8,0.008763199814852771,8.763199814852772
-2.5151515151515156,0.7919107139452511,0.8,0.008089286054748868,8.089286054748868
-2.4545454545454546,0.7924766295610273,0.8,0.007523370438972739,7.523370438972739
-2.393939393939394,0.7929580137761009,0.8,0.007041986223899153,7.041986223899153
-2.3333333333333335,0.7933720221434843,0.8,0.006627977856515639,6.627977856515639
-2.2727272727272725,0.7937314743060491,0.8,0.006268525693950964,6.268525693950964
-2.212121212121212,0.7940461349313855,0.8,0.005953865068614454,5.953865068614454
-2.151515151515152,0.7943235679177046,0.8,0.00567643208229543,5.67643208229543
-2.0909090909090913,0.7945697202917769,0.8,0.0054302797082232245,5.430279708223225
-2.0303030303030303,0.7947893302129009,0.8,0.005210669787099114,5.210669787099114
-1.9696969696969697,0.794986217733072,0.8,0.005013782266928102,5.013782266928102
-1.9090909090909092,0.7951634957003704,0.8,0.004836504299629649,4.83650429962965
-1.8484848484848486,0.7953237251998224,0.8,0.004676274800177629,4.676274800177629
-1.7878787878787878,0.7954690317876494,0.8,0.0045309682123506655,4.530968212350666
-1.7272727272727275,0.7956011935611199,0.8,0.0043988064388801595,4.398806438880159
-1.6666666666666667,0.7957217086969565,0.8,0.004278291303043565,4.278291303043565
-1.6060606060606062,0.7958318478196936,0.8,0.004168152180306366,4.1681521803063655
-1.5454545454545456,0.795932695021579,0.8,0.004067304978420949,4.06730497842095
-1.4848484848484849,0.7960251802951919,0.8,0.003974819704808167,3.9748197048081666
-1.4242424242424245,0.7961101053988521,0.8,0.0038898946011479106,3.8898946011479105
-1.3636363636363638,0.7961881646499999,0.8,0.0038118353500001586,3.8118353500001585
-1.303030303030303,0.7962599617650957,0.8,0.0037400382349042985,3.7400382349042984
-1.2424242424242427,0.7963260235913441,0.8,0.003673976408655904,3.673976408655904
-1.1818181818181819,0.7963868113749628,0.8,0.0036131886250372145,3.6131886250372145
-1.1212121212121213,0.7964427300620788,0.8,0.003557269937921252,3.557269937921252
-1.0606060606060608,0.7964941360170438,0.8,0.0035058639829562517,3.5058639829562517
-1.0,0.7965413434589322,0.8,0.0034586565410678425,3.4586565410678425
-0.9393939393939396,0.7965846298529637,0.8,0.003415370147036279,3.415370147036279
-0.8787878787878791,0.7966242404444356,0.8,0.003375759555564401,3.3757595555644007
-0.8181818181818181,0.7966603920847005,0.8,0.0033396079152994695,3.3396079152994695
-0.7575757575757577,0.796693276469076,0.8,0.0033067235309240965,3.3067235309240965
-0.6969696969696972,0.7967230628832606,0.8,0.003276937116739433,3.276937116739433
-0.6363636363636362,0.796749900536453,0.8,0.0032500994635469883,3.2500994635469884
-0.5757575757575758,0.7967739205446847,0.8,0.0032260794553154275,3.2260794553154275
-0.5151515151515154,0.7967952376161206,0.8,0.003204762383879475,3.204762383879475
-0.45454545454545486,0.7968139514806332,0.8,0.0031860485193668754,3.1860485193668753
-0.393939393939394,0.7968301480981839,0.8,0.003169851901816149,3.1698519018161493
-0.3333333333333335,0.7968439006742749,0.8,0.003156099325725089,3.1560993257250893
-0.272727272727273,0.7968552705054404,0.8,0.0031447294945596577,3.1447294945596576
-0.2121212121212121,0.7968643076734181,0.8,0.0031356923265819445,3.1356923265819443
-0.15151515151515163,0.796871051602911,0.8,0.0031289483970889723,3.128948397088972
-0.09090909090909115,0.7968755314946496,0.8,0.0031244685053503658,3.124468505350366
-0.030303030303030238,0.7968777666427429,0.8,0.003122233357257171,3.122233357257171
0.030303030303030238,0.7968777666427429,0.8,0.003122233357257171,3.122233357257171
0.09090909090909072,0.7968755314946496,0.8,0.0031244685053503658,3.124468505350366
0.1515151515151512,0.7968710516029109,0.8,0.0031289483970890807,3.1289483970890806
0.2121212121212121,0.7968643076734181,0.8,0.0031356923265819445,3.1356923265819443
0.2727272727272726,0.7968552705054401,0.8,0.0031447294945598746,3.1447294945598747
0.33333333333333304,0.7968439006742751,0.8,0.0031560993257248723,3.156099325724872
0.393939393939394,0.7968301480981839,0.8,0.003169851901816149,3.1698519018161493
0.4545454545454544,0.7968139514806336,0.8,0.0031860485193664417,3.186048519366442
0.5151515151515149,0.7967952376161205,0.8,0.0032047623838795834,3.2047623838795833
0.5757575757575758,0.7967739205446847,0.8,0.0032260794553154275,3.2260794553154275
0.6363636363636362,0.796749900536453,0.8,0.0032500994635469883,3.2500994635469884
0.6969696969696968,0.7967230628832602,0.8,0.0032769371167398666,3.2769371167398664
0.7575757575757572,0.7966932764690758,0.8,0.003306723530924205,3.306723530924205
0.8181818181818181,0.7966603920847005,0.8,0.0033396079152994695,3.3396079152994695
0.8787878787878787,0.7966242404444356,0.8,0.003375759555564401,3.3757595555644007
0.9393939393939396,0.7965846298529637,0.8,0.003415370147036279,3.415370147036279
1.0,0.7965413434589322,0.8,0.0034586565410678425,3.4586565410678425
1.0606060606060606,0.7964941360170438,0.8,0.0035058639829562517,3.5058639829562517
1.1212121212121209,0.7964427300620788,0.8,0.003557269937921252,3.557269937921252
1.1818181818181814,0.7963868113749628,0.8,0.0036131886250372145,3.6131886250372145
1.242424242424242,0.7963260235913441,0.8,0.003673976408655904,3.673976408655904
1.3030303030303032,0.7962599617650957,0.8,0.0037400382349042985,3.7400382349042984
1.3636363636363638,0.7961881646499999,0.8,0.0038118353500001586,3.8118353500001585
1.4242424242424243,0.7961101053988521,0.8,0.0038898946011479106,3.8898946011479105
1.4848484848484846,0.7960251802951919,0.8,0.003974819704808167,3.9748197048081666
1.5454545454545452,0.7959326950215793,0.8,0.004067304978420732,4.067304978420732
1.6060606060606057,0.7958318478196935,0.8,0.004168152180306474,4.168152180306474
1.666666666666666,0.7957217086969565,0.8,0.004278291303043565,4.278291303043565
1.7272727272727275,0.7956011935611199,0.8,0.0043988064388801595,4.398806438880159
1.7878787878787878,0.7954690317876494,0.8,0.0045309682123506655,4.530968212350666
1.8484848484848484,0.7953237251998224,0.8,0.004676274800177629,4.676274800177629
1.909090909090909,0.7951634957003704,0.8,0.004836504299629649,4.83650429962965
1.9696969696969693,0.794986217733072,0.8,0.005013782266928102,5.013782266928102
2.03030303030303,0.7947893302129009,0.8,0.005210669787099114,5.210669787099114
2.0909090909090904,0.7945697202917769,0.8,0.0054302797082232245,5.430279708223225
2.151515151515152,0.7943235679177046,0.8,0.00567643208229543,5.67643208229543
2.212121212121212,0.7940461349313855,0.8,0.005953865068614454,5.953865068614454
2.2727272727272725,0.7937314743060491,0.8,0.006268525693950964,6.268525693950964
2.333333333333333,0.7933720221434843,0.8,0.006627977856515639,6.627977856515639
2.3939393939393936,0.7929580137761008,0.8,0.007041986223899261,7.041986223899261
2.454545454545454,0.7924766295610273,0.8,0.007523370438972739,7.523370438972739
2.5151515151515156,0.7919107139452511,0.8,0.008089286054748868,8.089286054748868
2.5757575757575757,0.7912368001851473,0.8,0.008763199814852771,8.763199814852772
2.6363636363636362,0.7904219660697701,0.8,0.009578033930229931,9.578033930229932
2.696969696969697,0.7894186440922516,0.8,0.010581355907748436,10.581355907748435
2.7575757575757573,0.7881556925189849,0.8,0.011844307481015153,11.844307481015154
2.818181818181818,0.786522288052453,0.8,0.013477711947547051,13.477711947547052
2.8787878787878785,0.7843372742064945,0.8,0.015662725793505538,15.662725793505537
2.9393939393939394,0.7812873628801241,0.8,0.01871263711987589,18.712637119875893
3.0,0.7767955666512378,0.8,0.02320443334876223,23.204433348762233
